Broad subject;Category / Contentious sector;(Sub-Category);Category Conceptual Definition;Sub-Category Conceptual Definition;Key NLP words targets;Key interests / key lobbies;;;;
Climate;TRANSPORT AND MOBILITY;Freight modal shift and logistics optimization;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Shifting the transport of goods from high-emission road modes to lower-emission rail or water-based systems and optimizing logistics for resource efficiency;"""modal shift"", ""freight electrification"", ""rail logistics"", ""intermodal transport"", ""supply chain efficiency"", ""heavy-duty trucks"", ""logistics optimization"", ""Shift2Rail"", ""Eurostat Freight"", ""European Rail Freight Association"", ""International Transport Forum"", ""World Road Association"", ""infrastructure bottlenecks"", ""cross-border interoperability"", ""last-mile delivery"", ""speed-of-delivery trade-offs"", ""regulatory barriers""";Logistics companies, rail operators, port authorities, and freight forwarders;;;;
Climate;TRANSPORT AND MOBILITY;Tourism-related transportation and carbon footprint;A sector representing approximately 26% of total greenhouse gas emissions in the Union and identified as a domain for systemic transition by the IPCC. It is also specifically addressed by SDG target 11.2 for access to sustainable transport systems.;Management of the increasing carbon footprint and pollution caused by the rise in long-distance airborne and seaborne transportation for tourism;"""tourism carbon footprint"", ""travel-related emissions"", ""long-distance transportation"", ""seaborne travel pollution"", ""airborne travel emissions"", ""ecotourism scale"", ""UNWTO"", ""Sustainable Tourism Global Council"", ""SDG 8.9"", ""SDG 12.b"", ""Global Sustainable Tourism Council"", ""flight shaming"", ""overtourism"", ""invasive alien species pathway"", ""carbon leakage"", ""tourism dependency""";Tourism industry, cruise lines, airlines, and local tourist boards;;;;
Climate;BUILDINGS AND CONSTRUCTION;Deep energy retrofitting and thermal performance;A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Systematic renovation of existing building stock to achieve high energy performance through improved insulation, efficient lighting, and smart thermal regulation;"""building retrofitting"", ""thermal insulation"", ""HVAC optimization"", ""energy performance certificates"", ""building envelope improvement"", ""smart thermal regulation"", ""deep renovation"", ""Energy Performance of Buildings Directive"", ""EPBD"", ""Renovation Wave"", ""Eurostat Energy Efficiency"", ""Energy Star"", ""split incentives"", ""retrofit rate"", ""up-front investment cost"", ""housing affordability"", ""gentrification risk""";Real estate developers, construction firms, energy service companies (ESCOs), and insulation manufacturers;;;;
Climate;BUILDINGS AND CONSTRUCTION;Zero-emission building design and construction;A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Design and construction of new buildings that utilize low-emission sources and efficient materials to achieve near-zero carbon operational standards;"""zero-emission buildings"", ""passive house design"", ""onsite renewable energy"", ""low-emissions heating"", ""net-zero housing"", ""sustainable building standards"", ""low-carbon construction"", ""EU Green Building"", ""LEED certification"", ""BREEAM"", ""World Green Building Council"", ""Ecodesign Directive"", ""construction cost premium"", ""embodied carbon debate"", ""regulatory compliance burden"", ""net-zero greenwashing"", ""building lifespan""";Architects, urban developers, green building councils, and construction material suppliers;;;;
Climate;BUILDINGS AND CONSTRUCTION;Circularity and building material reuse;A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Promoting the disassembly, deconstruction, and reuse of building materials to reduce resource use and construction waste in line with circular economy principles;"""building material reuse"", ""disassembly and deconstruction"", ""circular material flows"", ""construction waste prevention"", ""repurposing buildings"", ""secondary building materials"", ""material recovery"", ""Waste Framework Directive"", ""Circular Economy Action Plan"", ""REACH regulation"", ""Cradle to Cradle"", ""EMAS"", ""structural safety concerns"", ""toxic legacy materials"", ""downcycling"", ""demolition waste dumping"", ""waste trade""";Demolition companies, waste management firms, sustainable material providers, and circular design specialists;;;;
Climate;BUILDINGS AND CONSTRUCTION;Low-carbon material substitution (Bio-based materials);A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Replacing GHG-intensive construction materials (e.g., steel, cement) with sustainably sourced wood and other renewable bio-based materials;"""bio-based materials"", ""sustainably sourced wood"", ""long-lived wood products"", ""construction material substitution"", ""engineered timber"", ""natural building materials"", ""carbon sequestration in products"", ""FSC certification"", ""PEFC"", ""FLEGT"", ""EU Timber Regulation"", ""Nagoya Protocol"", ""carbon sink integrity"", ""harvesting rates"", ""land-use competition"", ""forest degradation risk"", ""biomass sustainability""";Forestry sector, timber manufacturers, architects, and climate-conscious developers;;;;
Climate;BUILDINGS AND CONSTRUCTION;Sufficiency and demand management in built environments;A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Implementation of measures and practices that avoid the demand for energy, materials, and land while delivering well-being within planetary boundaries;"""sufficiency measures"", ""demand-side mitigation"", ""floor area per capita"", ""co-housing models"", ""resource-efficient lifestyles"", ""urban density management"", ""avoid-shift-improve"", ""IPCC WGIII"", ""SDG 12.1"", ""10-Year Framework of Programmes"", ""C40 Cities"", ""UN-Habitat"", ""living standards conflict"", ""lifestyle changes"", ""degrowth debate"", ""personal freedom"", ""urban sprawl""";Local authorities, urban planners, behavioral scientists, and civil society organizations;;;;
Climate;BUILDINGS AND CONSTRUCTION;Climate adaptation and resilient building infrastructure;A major focus for energy efficiency and urban adaptation in IPCC AR6 (C.3.4). The EU Taxonomy identifies it as a key sector for climate change mitigation and for the transition to a circular economy through the reuse of building materials,.;Integration of adaptation solutions into buildings to reduce risks from climate hazards such as heatwaves, flooding, and heavy precipitation;"""climate resilient development"", ""disaster risk management"", ""urban heat island mitigation"", ""flood-resilient housing"", ""building adaptation solutions"", ""thermal regulation"", ""early warning systems"", ""Sendai Framework"", ""Global Adaptation Network"", ""United Nations-supported Principles for Responsible Investment"", ""Green Climate Fund"", ""maladaptation"", ""seawall lock-in"", ""inequitable protection"", ""vulnerability transition"", ""relocation risks""";Urban developers, disaster risk management agencies, insurance companies, and municipal authorities;;;;
Climate;CITIES AND HUMAN SETTLEMENTS;Compact urban form and land-use planning;Structured by SDG 11, this sector is analyzed by IPBES as a driver of urbanization impacting biodiversity and by the IPCC as a critical system for climate-resilient development,,.;Integrated spatial strategies aiming to achieve urban density and co-location of jobs and housing to reduce energy demand and minimize the conversion of natural ecosystems.;"""compact urban form"", ""job-housing co-location"", ""urban urbanization"", ""spatial planning integration"", ""urban densification"", ""integrated spatial strategies"", ""transit-oriented development"", ""SDG 11.3"", ""UN-Habitat"", ""New Urban Agenda"", ""C40 Cities"", ""Local Governments for Sustainability"", ""urban sprawl"", ""green gentrification"", ""habitat fragmentation"", ""land competition"", ""forced displacement""";Local administrations, urban planners, real estate developers, and nature conservation organizations fighting against urban sprawl.;;;;
Climate;CITIES AND HUMAN SETTLEMENTS;Urban Nature-based Solutions (NbS) and Green/Blue Infrastructure;Structured by SDG 11, this sector is analyzed by IPBES as a driver of urbanization impacting biodiversity and by the IPCC as a critical system for climate-resilient development,,.;Implementation of green and blue infrastructure, such as urban forests and wetlands, to manage climate risks like heatwaves and flooding while enhancing biodiversity and ecosystem services.;"""urban nature-based solutions"", ""green-blue infrastructure"", ""ecosystem-based adaptation"", ""urban forests"", ""rooftop gardens"", ""permeable surfaces"", ""ecological connectivity"", ""Convention on Biological Diversity"", ""IPBES Global Assessment"", ""IUCN NbS Standard"", ""European Green Capital"", ""Global Environment Facility"", ""nature-based greenwashing"", ""ecological representative"", ""implementation scale"", ""maintenance costs"", ""grey-infrastructure bias""";Municipalities, landscape architects, environmental NGOs, and water management sectors.;;;;
Climate;CITIES AND HUMAN SETTLEMENTS;Slum upgrading and resilient housing for the vulnerable;Structured by SDG 11, this sector is analyzed by IPBES as a driver of urbanization impacting biodiversity and by the IPCC as a critical system for climate-resilient development,,.;Ensuring access to adequate, safe, and affordable housing and basic services while building the resilience of the poor to climate-related extreme events.;"""slum upgrading"", ""informal settlements"", ""resilient housing"", ""social protection programs"", ""urban poverty reduction"", ""vulnerable urban populations"", ""adequate housing access"", ""SDG 11.1"", ""UN-Habitat Slum Almanac"", ""World Bank Urban Development"", ""Slum Dwellers International"", ""International Federation of Red Cross"", ""inequitable protection"", ""marginalized residents"", ""forced relocation"", ""relocation risks"", ""legal status of migrants""";National governments, development agencies, social NGOs, and residents of informal settlements.;;;;
Climate;CITIES AND HUMAN SETTLEMENTS;Urban air quality and municipal waste management;Structured by SDG 11, this sector is analyzed by IPBES as a driver of urbanization impacting biodiversity and by the IPCC as a critical system for climate-resilient development,,.;Reduction of the adverse per capita environmental impact of cities through the management of air quality and the implementation of environmentally sound waste systems.;"""urban air quality"", ""municipal waste management"", ""per capita environmental impact"", ""ambient air pollution"", ""waste collection systems"", ""hazardous chemicals management"", ""particulate matter monitoring"", ""WHO Air Quality Guidelines"", ""Circular Economy Action Plan"", ""Waste Framework Directive"", ""Eurostat Waste"", ""SDG 11.6"", ""toxic dumping"", ""incineration impacts"", ""waste trade"", ""pollution hotspots"", ""smog deaths""";Waste management sectors, public health services, urban environmental authorities, and recycling companies.;;;;
Climate;CITIES AND HUMAN SETTLEMENTS;Coastal and low-lying cities adaptation infrastructure;Structured by SDG 11, this sector is analyzed by IPBES as a driver of urbanization impacting biodiversity and by the IPCC as a critical system for climate-resilient development,,.;Development of defensive and adaptive infrastructure, including seawalls and disaster risk systems, to protect coastal settlements from sea-level rise and storm surges.;"""sea-level rise adaptation"", ""storm surge barriers"", ""coastal defense infrastructure"", ""managed retreat"", ""hard engineering solutions"", ""dike construction"", ""disaster risk systems"", ""Sendai Framework"", ""SROCC report"", ""Global Adaptation Network"", ""Green Climate Fund"", ""Coastal Cities Network"", ""maladaptation"", ""seawall lock-in"", ""inequitable protection"", ""coastal squeeze"", ""irreversible losses""";Civil engineering firms, insurance companies, port authorities, and coastal residents.;;;;
Climate;INFORMATION AND COMMUNICATION TECHNOLOGIES (ICT);Digital solutions for climate monitoring and system optimization;Identified in the EU Taxonomy as an enabling sector for climate change mitigation and mentioned in SDG target 9.c regarding access to technology,.;Utilization of ICT, geospatial information, and satellite monitoring as enabling tools to monitor climate impacts and optimize the efficiency of energy and transport systems.;"""geospatial information systems"", ""earth observation data"", ""climate services monitoring"", ""smart-grid technology integration"", ""digital system optimization"", ""satellite-based climate monitoring"", ""precision environmental data"", ""Group on Earth Observations"", ""Copernicus Program"", ""SDG Target 17.16"", ""C40 Cities Network"", ""UN-Habitat Digital"", ""data accessibility barriers"", ""technological lock-in risk"", ""digital monitoring divide"", ""information proprietary restrictions"", ""high-cost data infrastructure""";Technology companies, data providers, space agencies, and energy and transport sectors.;;;;
Climate;INFORMATION AND COMMUNICATION TECHNOLOGIES (ICT);Universal internet access and digital connectivity;Identified in the EU Taxonomy as an enabling sector for climate change mitigation and mentioned in SDG target 9.c regarding access to technology,.;Efforts to provide universal and affordable access to the internet to bridge the digital divide and facilitate the spread of scientific and technological innovation.;"""universal internet access"", ""affordable digital connectivity"", ""ICT infrastructure expansion"", ""broadband network deployment"", ""information communications technology access"", ""bridging digital divide"", ""global telecommunications connectivity"", ""International Telecommunication Union"", ""SDG Target 9.c"", ""World Bank Digital"", ""Alliance for Affordable Internet"", ""UNESCO ICT Taskforce"", ""unequal digital access"", ""infrastructure investment gap"", ""connectivity affordability crisis"", ""marginalized community exclusion"", ""digital literacy barriers""";Telecommunications operators, governments, educational institutions, and international development agencies.;;;;
Climate;INFORMATION AND COMMUNICATION TECHNOLOGIES (ICT);Environmentally sound technology transfer;Identified in the EU Taxonomy as an enabling sector for climate change mitigation and mentioned in SDG target 9.c regarding access to technology,.;Promotion of the development, transfer, and diffusion of environmentally sound technologies to developing countries to support national climate plans.;"""technology facilitation mechanism"", ""environmentally sound technology transfer"", ""low-emission technology diffusion"", ""North-South technical cooperation"", ""concessional technology terms"", ""capacity-building technical support"", ""joint scientific research"", ""UNFCCC Technology Executive Committee"", ""Green Climate Fund"", ""Doha Development Round"", ""World Trade Organization"", ""Technology Bank for LDCs"", ""intellectual property barriers"", ""concessional term disputes"", ""technology implementation gap"", ""foreign provider overdependence"", ""asymmetric knowledge transfer""";International organizations (UN), developed and developing nations, R&D sectors, and technology investors.;;;;
Climate;INFORMATION AND COMMUNICATION TECHNOLOGIES (ICT);Energy intensity and environmental footprint of ICT;Identified in the EU Taxonomy as an enabling sector for climate change mitigation and mentioned in SDG target 9.c regarding access to technology,.;Management of the increasing demand for energy, critical minerals, and the environmental impacts associated with technological innovation and digital consumption.;"""ICT energy intensity"", ""digital resource consumption"", ""electronic waste management"", ""critical minerals footprint"", ""data center energy demand"", ""ICT lifecycle assessment"", ""rebound effect of innovation"", ""WEEE Directive"", ""Circular Economy Action Plan"", ""Global E-waste Monitor"", ""Critical Raw Materials Act"", ""Eco-design Directive"", ""energy-hungry data"", ""critical minerals rush"", ""electronic waste dumping"", ""digital rebound effect"", ""resource depletion concerns""";Computer hardware industry, data centers, mining sectors (critical minerals/rare earths), and environmental regulators.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Renewable energy generation (Solar, Wind, Geothermal, and Hydropower);Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Generation of electricity and heat from non-fossil renewable sources including solar, wind, geothermal, and hydropower to achieve deep emission reductions in the global energy mix.;"""solar photovoltaic"", ""offshore wind"", ""concentrated solar power"", ""geothermal energy"", ""run-of-river hydro"", ""variable renewable energy"", ""renewable heat"", ""IRENA"", ""International Energy Agency"", ""SolarPower Europe"", ""Global Wind Energy Council"", ""RE100"", ""bird-killing turbines"", ""renewable intermittency"", ""renewable curtailment"", ""landscape industrialization"", ""solar waste""";Utility companies, renewable energy developers, solar/wind turbine manufacturers, and independent power producers.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Energy infrastructure, transmission, and grid reinforcement;Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Construction and operation of systems for transmitting, storing, and distributing low-carbon energy, including necessary reinforcement or extension of the power grid.;"""high-voltage transmission"", ""smart grid integration"", ""grid reinforcement"", ""interconnector capacity"", ""electricity distribution network"", ""grid stability"", ""decentralized energy systems"", ""ENTSO-E"", ""Transmission System Operator"", ""Distribution System Operator"", ""European Grid Initiative"", ""Cigré"", ""grid bottlenecks"", ""NIMBY infrastructure"", ""transmission losses"", ""grid congestion"", ""centralized-vs-decentralized""";Transmission system operators (TSOs), distribution system operators (DSOs), infrastructure investors, and smart-grid technology providers.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Energy storage technologies;Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Deployment of technologies to store energy for later use, facilitating the integration of variable renewable sources into the energy system.;"""lithium-ion batteries"", ""pumped hydro storage"", ""thermal energy storage"", ""battery life-cycle"", ""flywheel energy storage"", ""utility-scale storage"", ""chemical energy storage"", ""European Battery Alliance"", ""Global Battery Alliance"", ""EUROBAT"", ""IEA Storage"", ""Battery Passport"", ""lithium scarcity"", ""battery resource footprint"", ""storage degradation"", ""fire safety risks"", ""critical mineral dependency""";Battery manufacturers, chemical companies, utility-scale storage developers, and technology startups.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Low-emission hydrogen and alternative carriers;Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Production and use of low-emission hydrogen and other alternative energy carriers for applications less amenable to direct electrification.;"""green hydrogen"", ""low-emission ammonia"", ""synthetic kerosene"", ""electrolyser capacity"", ""hydrogen-based fuels"", ""power-to-gas"", ""alternative energy carriers"", ""Hydrogen Council"", ""Clean Hydrogen Partnership"", ""IPHE"", ""Green Hydrogen Catapult"", ""H2Global"", ""hydrogen greenwashing"", ""energy density penalties"", ""infrastructure conversion costs"", ""hydrogen leakage"", ""blue-vs-green debate""";Industrial gas producers, hydrogen fuel providers, hard-to-abate industrial sectors, and transport logistics.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Bioenergy and biomass-based energy production;Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Generation of energy from biomass, which contributes to climate mitigation but poses risks to biodiversity and food security through land-use competition.;"""biomass bioenergy"", ""wood pellets"", ""biofuel feedstock"", ""second-generation biofuels"", ""bioenergy with CCS"", ""BECCS"", ""short-rotation coppice"", ""Renewable Energy Directive"", ""Global Bioenergy Partnership"", ""FSC certification"", ""Roundtable on Sustainable Biomaterials"", ""food-vs-fuel"", ""monoculture plantations"", ""carbon debt"", ""indirect land-use change"", ""biodiversity-bioenergy trade-offs""";Biofuel producers, forestry companies, agricultural cooperatives, and environmental NGOs concerned with land use.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Fugitive methane emissions reduction (Coal, Oil, and Gas supply);Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Implementation of measures to capture and reduce fugitive methane emissions from fossil fuel extraction and distribution systems.;"""methane leak detection"", ""gas flaring reduction"", ""fugitive emissions monitoring"", ""coal mine methane"", ""vapor recovery units"", ""gas supply chain integrity"", ""abated fossil fuels"", ""Global Methane Pledge"", ""Oil and Gas Methane Partnership"", ""IEA Methane Tracker"", ""Methane Guiding Principles"", ""invisible pollution"", ""industry self-regulation"", ""unmonitored leaks"", ""unabated fossil fuels"", ""satellite monitoring shaming""";Oil and gas companies, coal mining operators, environmental regulators, and monitoring agencies.;;;;
Climate & Biodiversity;ENERGY SYSTEMS;Nuclear energy generation;Identified as a pivotal sector for climate change mitigation in IPCC AR6 (C.3.2) and Sustainable Development Goal (SDG) 7,. It also constitutes a major trade-off area in the IPBES Global Assessment due to the impacts of large-scale bioenergy deployment on land use and biodiversity,.;Use of nuclear fission as a low-carbon energy source to contribute to the deep reduction of greenhouse gas emissions in the global energy supply.;"""nuclear"", ""nuclear fission"", ""small modular reactors"", ""baseload power"", ""uranium enrichment"", ""spent nuclear fuel"", ""generation III+ reactors"", ""IAEA"", ""Euratom"", ""World Association of Nuclear Operators"", ""Nuclear Energy Agency"", ""EU Taxonomy Transition Activities"", ""nuclear waste disposal"", ""radioactive fallout"", ""meltdown risk"", ""proliferation concern"", ""high decommissioning costs""";Nuclear power plant operators, utility companies, national energy agencies, uranium mining corporations, and radioactive waste management firms.;;;;
